label,mtang1,mtang2,move,posid,direction,speed,motor,angle,xpix,ypix,xytgt,peaks,fwhm
xy12-20230524-145152,0.000000,0.000000,20230524-145303,4852,cw,cruise,phi,96.567083,1917.165651,1042.234717,1,79376.9046,3.6732
xy12-20230524-145152,0.000000,0.000000,20230524-145316,4852,cw,cruise,phi,-1.756934,2027.029709,734.116512,1,79297.9318,3.4667
xy12-20230524-145152,0.000000,0.000000,20230524-145330,4852,ccw,cruise,phi,97.122179,2026.614828,836.230969,1,79039.0786,3.6190
xy12-20230524-145152,0.000000,0.000000,20230524-145344,4852,cw,cruise,phi,-1.982352,2029.610454,941.908460,1,78339.1661,3.5378
xy12-20230524-145152,0.000000,0.000000,20230524-145356,4852,cw,cruise,phi,94.781308,2022.475560,1047.130481,1,78375.1826,3.5979
xy12-20230524-145152,0.000000,0.000000,20230524-145410,4852,cw,cruise,phi,0.097572,2133.045043,836.666196,1,78599.9535,3.4563
xy12-20230524-145152,0.000000,0.000000,20230524-145424,4852,ccw,cruise,phi,-1.578628,2133.201356,943.976051,1,79377.5545,3.4851
xy12-20230524-153158,0.000000,0.000000,20230524-153206,4852,ccw,cruise,phi,-3.856131,1825.715305,833.039835,1,79759.2697,3.8952
xy12-20230524-153158,0.000000,0.000000,20230524-153220,4852,cw,cruise,phi,-0.244203,1824.675676,945.249835,1,80816.8890,3.9678
xy12-20230524-153158,0.000000,0.000000,20230524-153234,4852,cw,cruise,phi,-1.287924,1923.124951,736.719772,1,79161.6149,3.5723
xy12-20230524-153158,0.000000,0.000000,20230524-153246,4852,ccw,cruise,phi,95.870558,1923.352698,841.809593,1,79809.7503,3.7878
