label,mount,move,posid,direction,speed,motor,angle,xpix,ypix,peaks,fwhm
arcth30-20230207-180507,0,20230207-180612,4852,cw,cruise,theta,30,2118.4462217651494,990.9479081887757,71268.3161,3.2422
arcth30-20230207-180507,0,20230207-180621,4852,cw,cruise,theta,30,2037.4978544341782,1049.3800377439945,72996.2444,3.2093
arcth30-20230207-180507,0,20230207-180629,4852,cw,cruise,theta,30,1937.6042306664474,1052.4853681044553,72928.1066,3.2674
arcth30-20230207-180507,0,20230207-180638,4852,cw,cruise,theta,30,1853.4870852732945,999.455469752618,72907.2278,3.3121
arcth30-20230207-180507,0,20230207-180648,4852,cw,cruise,theta,30,1813.1643179743269,908.0007009278314,71687.3695,3.3943
arcth30-20230207-180507,0,20230207-180655,4852,cw,cruise,theta,30,1814.9436491940478,855.796655028547,71865.2102,3.3563
arcth30-20230207-180507,0,20230207-180704,4852,ccw,cruise,theta,30,1823.0199189714492,948.3271170285306,71492.8380,3.3699
arcth30-20230207-180507,0,20230207-180714,4852,ccw,cruise,theta,30,1884.3010150560247,1027.329449734303,71965.3616,3.3017
arcth30-20230207-180507,0,20230207-180722,4852,ccw,cruise,theta,30,1978.7834881543706,1058.4458421224203,71413.4822,3.2441
arcth30-20230207-180507,0,20230207-180732,4852,ccw,cruise,theta,30,2074.80401722043,1031.3237624817216,71268.2371,3.2357
arcth30-20230207-180507,0,20230207-180740,4852,ccw,cruise,theta,30,2139.349837961609,954.9043687190835,70849.3993,3.2096
arcth30-20230207-180507,0,20230207-180750,4852,ccw,cruise,theta,30,2149.9796207366003,855.5743356538453,70859.1821,3.1949
arcth30-20230207-180507,0,20230207-180759,4852,ccw,cruise,theta,30,2103.71296671811,767.8480786029957,70773.7616,3.1686
arcth30-20230207-180507,0,20230207-180808,4852,ccw,cruise,theta,30,2015.7609900653247,720.514717333735,70654.8682,3.1922
arcth30-20230207-180507,0,20230207-180816,4852,ccw,cruise,theta,30,1916.474671403877,730.5007727522521,72966.0846,3.1749
arcth30-20230207-180507,0,20230207-180824,4852,ccw,cruise,theta,30,1839.9917524582372,794.0346223048386,71523.8422,3.3140
arcth30-20230207-180507,0,20230207-180834,4852,ccw,cruise,theta,30,1811.9498094072915,889.6432709021092,72383.7626,3.4223
arcth30-20230207-180507,0,20230207-180843,4852,ccw,cruise,theta,30,1821.2996558505668,943.5444452708603,73375.5113,3.3651
arcth30-20230207-180507,0,20230207-180851,4852,ccw,cruise,phi,180,1983.0007404081755,880.2678716725426,71359.3804,3.2480
curreposition-20230210-094329,0,20230210-094332,4852,cw,cruise,theta,0,1968.751460637133,881.0724421877013,71884.7316,3.2019
getpic-20230210-094556,0,20230210-094559,4852,cw,cruise,theta,0,1968.7906735914105,880.9812389401887,71710.3479,3.2299
